image_id,X,Y,Width,Height,English_text,French_text
2349463,37,220,175,110,c4 written on the ramp,
2349466,119,57,183,209,brown horse pulling a wagon,
2349470,125,116,203,153,a clock is on a tower,
2349472,371,328,29,25,tiny silver screw,
2349474,226,92,78,139,Man wearing a gray uniform,
2349483,23,131,164,190,Bright yellow lawn chair,
2349489,225,33,100,80,a surfer riding a wave,
2349491,26,168,308,80,brown wooden bridge,
2349496,137,193,19,19,The bird is in the air.,
2349498,185,20,70,190,very old fashioned furnance बहुत पुराने जमाने की साज सज्जा,
2349505,186,11,305,319,two women in a seat,
2349506,126,147,56,50,a silver faucet of a tub,
2349519,156,142,142,70,blue and white train car,
2349525,116,4,365,142,Pieces of broccoli,
2349526,127,151,46,33,brown horse in pasture,
2349529,19,130,326,344,two horses with riders,
2349532,150,239,92,92,A red train on train tracks.,
2349540,165,126,247,77,white and orange boat,
2349542,161,102,163,152,truck parked in a lot,
2349544,199,65,223,171,black and gold train,
2349547,275,375,27,29,the black plastic eye of a bear,
2349548,288,43,64,113,The cup is white and green.,
2349553,230,57,33,17,white frisbee in the air,
2349557,113,38,361,239,baked beans and dogs,
2349560,68,115,127,119,orange orange in pink bowl,
2349561,40,28,415,303,men in a bathroom,
2349578,76,43,242,271,Adult female swinging tennis racket to hit ball.,
2349584,103,284,111,161,the jeans are blue,
2349586,66,166,147,328,A man holding a suitcase over his head.,
2349587,49,43,446,298,parrots standing outside,
2349588,247,250,47,45,metal faucet on sink,
2349594,104,87,118,107,a train with a blue front,
2349597,153,45,185,246,a black and grey dog,
2349605,20,6,473,326,a beautiful mountain scene,
2349607,38,54,396,315,a woman reading to children,
2349609,26,44,450,279,Huge pair of scissors,
2349612,113,167,27,20,black hair on doll,
2349614,202,166,74,75,a boy on tv neiling in a hallway,
2349615,249,109,90,71,It is teddy bear ribbon,
2349617,108,61,94,219,Yellow cat watches TV,
2349618,140,109,141,45,green street sign on pole,
2349626,165,175,168,78,two white chairs in the living room,
2349629,18,32,268,258,guy is wearing eyeglasses,
2349632,151,160,142,120,man standing with woman,
2349633,183,145,214,213,Two graphics together,
2349637,61,9,302,321,person sitting in chair,
2349639,376,266,48,107,The man is wearing a red coat.,
2349640,125,193,372,94,A net separating the tennis court,
2349641,7,153,121,206,Woman's reflection in mirror,
2349645,54,85,283,322,this is a train,
2349650,190,213,11,13,part of a laptop,
2349659,175,253,60,40,wooden barrel rolling on ground,
2349670,264,80,152,38,pink umbrella over girl,
2349674,72,37,174,196,large gray elephant,
2349675,72,93,347,170,two cats laying in basket,
2349676,258,176,191,197,woman posing for picture,
2349679,131,106,69,211,skier wearing black outfit,
2349680,91,6,272,264,a brown beanie hat,
2349684,0,99,248,227,Woman swinging a tennis racket,
2349686,86,157,320,145,bunch of cattle in middle of road,
2349693,385,38,12,16,part of the cloud,
2349694,37,368,203,130,a hand holding a tortilla,
2349695,251,289,124,85,One horse in the shot,
2349699,35,37,430,394,food on a plate,
2349706,177,195,94,130,a bird on a rock,
2349708,184,142,42,122,that is a person,
2349709,27,163,113,130,bird foot prints in the sand,
2349710,21,117,231,286,A man wearing glasses.,
2349713,70,2,248,273,a suitcase full of luggage,
2349714,59,167,137,292,cat walking on hardwood floor,
2349715,13,5,390,318,people playing baseball,
2349719,58,3,134,137,white built in microwave,
2349721,336,269,41,49,This is the type of sand that is very brown,
2349725,145,267,172,98,a man is on a horse,
2349730,15,120,428,172,white key board on desk,
2349739,452,0,44,105,Bottom of the salt shaker,
2349749,105,107,193,213,Slice of pizza on the plates.,
2349754,44,334,111,110,baseball in a glove,
2349756,440,208,30,27,Red upside down triangle,
2349757,12,124,127,168,Woman in the water,
2349759,112,77,140,146,a guy going down the ramp,
2349763,33,4,237,294,brown and white giraffe,
2349765,268,137,230,131,Light wood bench,
2349766,298,111,143,262,Man wearing a brown shirt,
2349770,12,73,361,414,partially eaten chicken pizza,
2349772,22,263,313,236,two layer cake,
2349777,279,240,3,8,part of a board,
2349781,296,108,65,37,dark snout on a sheeps face,
2349786,290,230,126,140,the dogs are fake,
2349789,3,86,475,243,two single beds in the room,
2349790,0,96,470,240,Plane on the tarmac,
2349796,187,169,245,200,part of a long sidewalk,
2349798,190,211,142,132,Animal Fur that is being gathered,
2349804,26,33,190,145,A person riding an animal,
2349806,66,18,325,328,three planes in the sky,
2349809,313,286,80,42,green tennis ball in motion,
2349817,12,33,484,333,Vehicles rolling down city street,
2349820,162,20,300,347,black and gold motorcycle parked in lot,
2349821,91,65,401,135,elephants are walking together,
2349822,360,150,38,11,digital sign tells destination,
2349825,143,98,290,180,elephants walking in a field,
2349835,38,50,412,302,Two people riding horses.,
2349838,209,156,127,175,The man with the orange shirt,
2349848,215,66,195,240,silver train with a blue and yellow stripes,
2349850,48,41,166,267,the birds are by the water,
2349858,178,203,43,30,Onions on a plate,
2349867,46,23,418,349,Two people holding game controllers.,
2349874,142,83,187,137,family of duck walking on street,
2349875,87,205,135,158,two white Wii remotes,
2349878,158,20,154,155,bird in the water,
2349879,28,73,441,244,bunches of orange pumpkins,
2349886,33,125,176,206,woman in pink holding a cup,
2349893,285,99,89,90,the clock is attched to the building,
2349896,46,170,156,160,A brown stuffed animal.,
2349899,70,0,360,312,Cookies baking in white oven.,
2349900,154,88,118,30,Thin framed glasses on a man's face.,
2349902,154,43,188,330,black and grey parking meter,
2349908,413,132,66,184,two women walking together,
2349910,125,3,244,252,dog is light brown,
2349923,172,121,150,95,a person surfing the ocean,
