image_id,X,Y,Width,Height,English_text,French_text
2391864,245,24,195,177,chair is green,
2391865,42,143,415,153,The crust is golden brown,
2391866,140,35,39,25,a small brown ponytail,
2391873,3,9,434,288,The colorful starred umbrella.,
2391876,247,111,193,140,The girl has a tennis racket,
2391879,8,220,348,270,Assorted glazed donuts,
2391886,255,112,27,77,a red stop sign next to road,
2391887,230,92,65,60,male surfer using black wet suit,
2391893,136,165,290,90,pickup truck is green,
2391895,182,66,150,76,man's jacket is red,
2391900,53,64,391,257,Sausage pizza,
2391901,371,100,47,50,woman's hair is blonde,
2391903,48,93,277,125,bench,
2391904,415,66,82,76,silver spoon and butter knife,
2391908,44,288,122,36,the cars are red,
2391911,247,251,60,37,a skateboard with white wheels,
2391913,88,29,191,301,a man bending over,
2391921,41,62,161,227,The man is serving the ball,
2391924,171,49,115,107,woman surfing in the ocean,
2391925,250,129,55,42,a red apple in a baby's hands,
2391932,349,204,109,152,black lamp post with three lamps,
2391936,6,8,479,273,the scene is in the hospital,
2391939,175,86,142,100,An oncoming train,
2391946,104,363,25,31,globe shaped light,
2391949,217,123,11,25,a red ketchup bottle,
2391951,154,128,35,85,male surfer in ocean,
2391952,316,67,86,64,red and white engine of train,
2391958,142,13,289,72,The sky is cloudy.,
2391961,21,50,48,106,duck in black and white photo,
2391964,293,108,62,97,He beak is white.,
2391968,34,51,120,216,a giraffe in the wild,
2391972,260,152,182,135,A large plastic bucket,
2391978,1,140,371,80,colored open umbrellas are at each table,
2391986,4,7,110,111,Letters in the window,
2391987,350,155,37,64,woman holds flip phone,
2391991,86,170,117,150,a skateboarder doing a trick,
2391994,146,59,124,78,kitten peeking over covers,
2391996,1,261,267,237,A woman on the phone,
2392004,93,27,238,309,Man with a skateboard.,
2392009,113,14,96,122,giraffe,
2392016,204,384,121,109,scraggly bush by the house,
2392020,35,45,37,115,a white desk lamp,
2392023,127,190,69,61,He has a grey cap on,
2392025,346,78,153,160,man wearing plaid shirt,
2392029,361,288,47,28,Black tip on surfboard,
2392033,197,136,102,113,brown dog,
2392034,175,55,35,62,The sky is blue.,
2392035,314,140,65,33,White writing on side of boat.,
2392038,246,71,17,39,a person standing in the ocean,
2392039,272,32,162,297,a person on a horse,
2392047,47,10,401,212,A variety of multi-colored kites in the dark blue sky,
2392048,104,7,164,160,white hat on the man's head,
2392049,89,78,123,161,Giant teddy bear is brown,
2392050,57,103,389,153,a plane taking off the ground,
2392053,8,12,360,478,This scene is at the beach.,
2392059,189,191,116,99,black and white sheep on farm,
2392065,346,0,68,52,Round can with British flag,
2392076,428,3,69,107,A bottle of ketchup is behind the salt and pepper shaker.,
2392082,20,11,458,320,a man holding scissors,
2392083,199,170,113,82,the blue and white bus is long,
2392088,169,186,93,100,hand behind a man's behind,
2392093,5,255,405,111,a solid black umbrella,
2392096,140,148,74,78,a foal in the field,
2392099,110,135,30,26,Green traffic light,
2392100,91,185,97,59,fried rice in silver metal container,
2392107,1,207,498,122,The water is calm.,
2392113,204,108,110,45,bright blue eyes,
2392118,268,237,38,76,yellow and red fire hydrant,
2392122,83,206,37,59,a crouching baseball umpire,
2392125,236,5,25,36,light fixtures in a ceiling,
2392128,145,127,253,42,green street sign with white lettering,
2392134,67,54,132,202,girl wearing a blue shirt,
2392135,11,6,104,62,white and gray clouds in sky,
2392140,8,4,487,365,a large white van,
2392143,239,30,141,117,Person wearing glasses.,
2392144,155,402,84,74,Man wearing old shoes,
2392146,74,57,54,64,a picture on a wall,
2392147,22,113,120,61,Woman has dark hair,
2392148,212,217,137,82,The bench is attached to the ground,
2392149,24,17,454,357,the water is blue,
2392168,43,134,160,218,A sign for the ferry.,
2392172,170,0,328,374,a black computer laptop,
2392173,103,266,57,80,giraffe is eating grass.,
2392179,451,79,9,40,the fence post is white,
2392182,66,86,76,166,a man wearing a red jacket,
2392186,163,122,128,151,Two giraffes standing side by side,
2392192,389,245,59,119,Plastic water bottle with white cap,
2392205,34,99,403,163,A gray plane taking off,
2392206,231,137,147,142,a person is wind surfing,
2392207,161,293,70,77,apple logo on laptop,
2392208,68,120,313,37,traffic lights are red,
2392209,172,109,196,140,\The pug is lying on the pillows\,
2392211,126,204,70,180,kiteboarder in a black wetsuit,
2392212,213,71,31,25,a frisbee in the air,
2392214,173,152,273,142,The plane is white.,
2392216,297,230,89,85,man driving boat on river,
2392228,33,79,65,70,The apples are round.,
2392229,252,217,76,47,Wheels on an biplane,
2392234,303,65,52,62,The mint leaf on the whipped cream of the dessert.,
2392240,81,62,297,147,airplane being readied for take-off,
2392241,157,19,175,455,man is taking a mirror selfie,
2392243,204,111,107,113,tall red building in background,
2392248,113,136,179,157,the bus is white and blue,
2392251,30,148,237,65,The sand is tan.,
2392263,78,212,96,72,The grass is green and tall,
2392265,141,267,190,164,oranges are in bowls.,
2392266,449,173,12,31,part of the sky,
2392271,265,142,231,153,brown bench on right side,
2392276,137,166,81,36,The spider on top of the bristles of the toothbrush.,
2392287,248,26,195,342,Woman in forest area.,
